;texto;polarity;subjectivity;location;Latitude;Longitude
0;espero de coração que bolsonaro faça um bom mandato, nao eh pq ele ganhou que eu quero que as merdas que ele fala se concretizem.;0.24999999999999997;0.7000000000000001;Goianésia;-15.326899999999966;-49.11728999999997
1;"""[...] nesse sentido, precisamos de mais Brasil e menos Brasília"", afirma Bolsonaro.";0.16666666666666669;0.2833333333333333;São Paulo, Brasil;-23.562869999999975;-46.654679999999985
2;Eu não sei se choro pelo louco do bolsonaro ou se solto fogos pelo Haddad não ter entrado!!!;-1.0;0.9;Amsterdã;-16.695389999999975;-49.26577999999995
3;Muito boa a representação feminina no discurso do Bolsonaro;0.9099999999999999;0.7800000000000001;RS;44.02936463900005;20.804550522000056
4;Vcs preocupados com a candidatura do Bolsonaro,e eu só penso como o Paquetá perdeu aquele gol ontem;0.0;1.0;No coração da morena;22.192500000000052;-100.98898999999994
5;O segundo discurso do Bolsonaro já está melhor.;0.25;0.25;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
6;@gladtoberight Una volta Putin paga la campagna elettorale a Trump...un'altra Trump paga la campagna elettorale a B… https://t.co/tw4GcGNBAk;0.0;0.0;Chiaverano;45.49879000000004;7.902590000000032
7;"Alternância de poder, é fundamental!

Bolsonaro já disse que não vai tentar se recandidatar, e mesmo se tentasse, m… https://t.co/XDnhRFZCUy";0.0;1.0;Casa do Caralho;41.45252000000005;-8.559919999999977
8;A gente tem sorte que a maior força do legislativo é a bancada do PT, vai representar a gente. Mas vejo que ele e o… https://t.co/2YMKaIQh2H;0.3333333333333333;0.8333333333333334;Manaus, Brasil;-3.109149999999943;-60.05179999999996
9;Tira o bolsonaro da Globo e coloca as videos cacetadas;0.0;0.0;Guaramirim $2;-26.476489999999956;-49.001409999999964
10;se vc votou no Bolsonaro, pf me de unf;0.0;0.0;katy perry ♡ changki ♡ terror;44.01667000000003;87.31667000000004
11;A mulher do haddad vai dormir com o Bolsonaro kkkkkkk;0.0;0.0;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
