;texto;polarity;subjectivity;location;Latitude;Longitude
0;Si seguimos así, vamos directo a otro Bolsonaro . 👇👇👇👇👇 https://t.co/1jO6XvuzWO;0.2;0.4;Chile;-29.999999999999943;-70.99999999999994
1;Só eu que estou proibida pelo Facebook de publicar em grupos do Bolsonaro????;0.0;1.0;BRASIL;-10.769946428999958;-53.073466888999974
2;"@bolsonaro_1 Eu sou um dos 14 milhões .
Administrador com Pós em finanças e controladoria, e infelizmente meu Presi… https://t.co/Q425AqRRNG";-0.5;1.0;Bahia, Brasil;-12.490536620999933;-41.73040983399994
3;@thiagomedradol Ok, agora procura o real plano de governo do bolsonaro, de armamento civil ele fala? Sim, mas não é só isso que ele quer.;0.3;0.3;Santa Catarina, Brasil;-27.24632003199997;-50.48682375299995
4;@Marcellrods @g1 Tu tem internet, basta pesquisar as notícias. É mais trabalhoso que receber pelo zap, mas ainda as… https://t.co/DshRA8gljc;0.5;0.5;Brasília, Brasil;-15.778429999999958;-47.92864999999995
5;Bolsonaro detona: Quem me acusa segue presidiário, esconde partido, finge ser religioso e joga bíblia no lixo https://t.co/WOLZ51JxqI;0.0;0.25;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
6;Bolsonaro 17 #MudaBrasil17 https://t.co/P9DRLtOuKz;0.0;0.0;Recife, Brasil;-8.055309999999963;-34.87198999999998
7;"""a Bíblia não impede de exercer a democracia"" MENOSS se não votar no Bolsonaro né, pelo amor de Deus";0.0;0.0;Em choque;-24.533329999999978;32.983330000000024
8;Com disputa na web, frases pró Bolsonaro e Haddad lideram Twitter no mundo https://t.co/543aTpI3Tj via @UOLNoticias… https://t.co/a7z7qG7bBx;0.0;0.0;M.G.;45.79368000000005;3.1091299489295965
9;"Raimundo Fagner, um nordestino consciente, declara seu apoio a Jair Bolsonaro

By @CleberAmaral_ https://t.co/3fgBgjNxOp";0.1;0.5;Campos dos Goytacazes, Brasil;-21.754599999999982;-41.32418999999993
10;Senti tanta vergonha que não consegui terminar de olhar. Queria sentar de frente para esse menino é perguntar: meu… https://t.co/5ck6Me8xat;0.0;0.0;Gravataí, Brasil;-29.94235999999995;-50.99121999999994
11;Gostei de um vídeo @YouTube https://t.co/ZD0vJbnaz7ê Não Precisa Votar no Bolsonaro;0.0;0.0;Teresópolis/Rj;-22.41238999999996;-42.96667999999994
12;PF desmonta grupo petista que planejava ato violento após vitória de Bolsonaro https://t.co/cOmMVoo6ba;-0.8;1.0;Brasil - Rio de Janeiro;-22.91215999999997;-43.17500999999993
13;@luciano_hang Bolsonaro presidente do Brasil17neles;0.0;0.0;Sergipe, Brasil;-10.583713835999959;-37.44400478699998
14;Miriam Leitão, da GLOBO, afirma que ‘votar em Bolsonaro é votar no desconhecido’ https://t.co/Q0BFZQRn5N;-0.1;0.6;Rio de Janeiro;-22.91215999999997;-43.17500999999993
15;O poste tá perdendo e quem entra me desespero é Bolsonaro? Cadê a coerência? https://t.co/dePl79YkIX;0.0;0.0;Brasil;-10.769946428999958;-53.073466888999974
16;@joaquimboficial Isso é raivinha do Joaquim Barbosa, só porque o Bolsonaro nao vai escolher ele como Ministro da Justiça.;0.0;0.0;Belém, Brasil;-1.4564299999999548;-48.503269999999986
17;"@cindycorretora 
Se Ferrou. Divulgue.....

https://t.co/REDUEv9VsX";0.0;0.0;Campinas, Brasil;-22.90901999999994;-47.064599999999984
18;"Bom dia, gente
A armadilha de zeze hoje pra mudar voto foi:

Chamar meu primo PM e cristão dizendo que iam orar
Ago… https://t.co/5uMGxRKnhM";0.35;0.30000000000000004;Nova Iguaçu, Brasil;-22.759969999999953;-43.45113999999995
19;Bolsonaro y Haddad: Propuestas para llevar a Brasil por caminos diferentes https://t.co/Z3cLzXL06Y             .;0.0;0.6;Venezuela;7.120733800000039;-66.16282028899997
