;texto;polarity;subjectivity;location;Latitude;Longitude
0;"Falaram pra mim q iam votar no voisa pq o economista da equipe dele era o melhor, Haddad tem mestrado em economia ,
MESTRADO";1.0;0.3;Submundo;-20.51458999999994;-43.712699999999984
1;Da mesma forma que @ManoBrownOF não pode crer que eleitores de @jairbolsonaro são monstros, não posso crer que 46%… https://t.co/eJgJPTOcWn;0.0;0.0;Niterói, Brasil;-22.88842999999997;-43.11463999999995
2;Hoje quando eu for votar ajudarei os dois candidatos, colocarei o 1 do haddad e o 7 do Bolsonaro;0.0;0.0;Apiúna, Brasil;-27.03451999999993;-49.38651999999996
3;I’m told the Israeli flag has become a signifier for Bolsanaro supporters because of evangelical support, pledge to… https://t.co/V7D396squM;0.0;0.0;London SE8;51.48117000000008;-0.024759999999957927
4;"independente:
se for votar no Bozo
se for votar no Haddad
se for votar branco ou nulo

deixar Santa Catarina nas mã… https://t.co/o55uYIgXIo";0.0;0.0625;Dema;37.41828000000004;-82.79662999999994
5;Hoje é dia de ir votar no Marista com a camisa do Brasil e um adesivo do Professor Fernando Haddad, o homem mais am… https://t.co/jWx7K01xo6;0.5;0.5;Natal,RN;-5.795439999999928;-35.211509999999976
6;"O cara na fila pro outro kkkkkkkkkkkkkkkkkkkkkkkkkkk

_qual número eu escolho pra votar no Haddad ?
_ Haddad o senh… https://t.co/bstFjOUw28";0.0;0.0;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
7;Elecciones en Brasil 2018: cuáles son las propuestas de los candidatos Bolsonaro y Haddad https://t.co/CSZpacSoTF https://t.co/ZJ3FORfSlM;0.0;0.0;Santiago, Chile;-33.43721999999997;-70.65001999999998
8;"@zeh_lemos @tiagobarbosa_ Qual foi a parte do ""pela democracia e contra o fascismo, pelo respeito à diversidade e c… https://t.co/myxnSAdxw6";0.0;0.0;Ceará, Sobral;-3.680149999999969;-40.34906999999998
9;"#Todoscontraofascismo!!!!
Haddad: para políticos de outros partidos e antipetistas, Bolsonaro não dá… https://t.co/4wnwej9wsN";-0.125;0.375;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
10;@Maryssleal @Marcelodedois @Haddad_Fernando @amandaramalhos Fomos por ele por quase 15 anos;0.0;0.0;Brasil;-10.769946428999958;-53.073466888999974
11;Se França 40 e Haddad 13 ganhar, amanhã vou distribuir 100 livros meus, com dedicatória na quebrada, só de GRATIDÃO.;0.13333333333333333;0.6;São Paulo, SP, Brasil;-23.562869999999975;-46.654679999999985
12;"eu e minha mãe fizemos a mesma promessa caso haddad ganhe: veganismo vitalício 
acordei dei bom dia ela disse vamo… https://t.co/qyNt38Een2";0.5;0.375;Brasília;-15.778429999999958;-47.92864999999995
13;@Marcelodedois @Haddad_Fernando @Marcelodedois te respeito demais! Mas uma coisa preciso te falar, limpo o Haddad n… https://t.co/N5fgrOBUP2;0.30833333333333335;0.45000000000000007;Distrito Federal;19.431940000000054;-99.13314999999994
14;Please help support Haddad 13 2018, add a #Twibbon now! https://t.co/pPxdVRrPpw;0.0;0.0;leo;11.093680000000063;-2.1017099999999687
15;A embaixada do Brasil em Jacarta, Indonésia, já apurou os votos: @jairbolsonaro 54% dos votos válidos, Haddad 36%.;0.0;0.0;Brasil;-10.769946428999958;-53.073466888999974
16;"bom dia

vote haddad 13";0.7;0.6000000000000001;Porto Alegre, Brasil;-30.033919999999966;-51.22798999999998
17;"Já votei. 13 com muito orgulho.
Não apenas para deter o Bolsonaro (motivo + q suficiente), mas pq o Haddad é um baita candidato.";0.375;0.7125;Jardim Camburi, Vitória;-20.26497999999998;-40.26440999999994
18;não vem com essa besteira de votar em bonossauro ele não gosta de mulher, de sapatão nem de viado EU VOU VOTAR EM H… https://t.co/JNsAYhdrjs;0.0;0.0;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
19;Mandei msg pro João acordar e ir votar no Haddad, mas é mais vantajoso que ele durma sem querer e não vote;0.5;0.5;Nárnia;39.515660000000025;-77.07331999999997
20;@GretchenCantora Isso mesmo ícone, Haddad sim!!;0.0;0.125;Do Interior mesmo;46.309690000000046;44.29237000000006
21;@LiviaAnastacio1 @zehdeabreu @Marcelodedois @xicosa @Haddad_Fernando Você resumiu tudo!;0.0;0.0;São Paulo, Brasil;-23.562869999999975;-46.654679999999985
22;"acabei de votar
votei 13 não era o que queria, mas pelo bem do país e da democracia votei haddad";0.0;0.0;Joanne Trattoria;40.77464993782112;-73.98021006939227
23;@lolhehehe @Haddad_Fernando Hahahaha tu é mito. Não, pera...;0.2;0.5;Santos, Brasil;-23.961439999999982;-46.32806999999997
24;@JoaoMundoBarros @mariazevedogarc @cherriesrose o patrimônio dele AUMENTOU 432 %, isso não é normal não, os auxílio… https://t.co/n7CCif8A6K;-0.075;0.6499999999999999;Belo Horizonte, Brazil;-19.919519999999977;-43.93832999999995
25;B dia porra dedo no cu e Haddad presidente;-0.6;0.8;Salvador, Brasil;-12.986449999999934;-38.52258999999998
